record_time,line_no,has_defect,mh,mb,oc,sh,sp,spc,pic_file_name
2024-06-25 08:47:41,2,1,2,1,9,5,0,7,202406250847412.jpg
2024-06-08 19:08:29,2,1,2,1,9,0,2,1,202406081908292.jpg
2024-06-21 05:30:14,2,0,0,0,0,0,0,0,202406210530142.jpg
2024-06-21 09:51:49,5,1,3,1,9,1,1,2,202406210951495.jpg
2024-06-08 09:54:33,1,0,0,0,0,0,0,0,202406080954331.jpg
2024-06-04 08:57:47,4,1,3,0,5,1,1,1,202406040857474.jpg
2024-07-01 04:09:26,5,1,1,1,9,2,2,2,202407010409265.jpg
2024-06-13 07:13:01,4,0,0,0,0,0,0,0,202406130713014.jpg
2024-06-19 22:43:06,3,1,1,1,6,4,1,2,202406192243063.jpg
2024-06-14 02:35:22,5,0,0,0,0,0,0,0,202406140235225.jpg
2024-06-15 21:39:03,3,0,0,0,0,0,0,0,202406152139033.jpg
2024-06-06 17:49:47,1,1,4,0,3,3,1,6,202406061749471.jpg
2024-06-19 23:20:36,3,1,0,1,1,4,4,3,202406192320363.jpg
2024-06-09 16:23:04,3,1,4,0,1,2,0,3,202406091623043.jpg
2024-06-11 22:49:20,2,1,1,0,1,0,4,3,202406112249202.jpg
2024-06-12 10:29:04,1,0,0,0,0,0,0,0,202406121029041.jpg
2024-06-12 19:26:25,2,1,1,1,5,1,1,5,202406121926252.jpg
2024-06-06 19:44:44,5,1,0,1,5,4,2,0,202406061944445.jpg
2024-06-06 14:12:10,4,0,0,0,0,0,0,0,202406061412104.jpg
2024-06-06 21:16:35,5,0,0,0,0,0,0,0,202406062116355.jpg
2024-06-26 21:59:10,3,0,0,0,0,0,0,0,202406262159103.jpg
2024-06-20 20:17:25,2,0,0,0,0,0,0,0,202406202017252.jpg
2024-06-22 13:03:01,5,1,4,0,6,1,2,5,202406221303015.jpg
2024-06-13 19:36:20,2,0,0,0,0,0,0,0,202406131936202.jpg
2024-06-30 16:43:29,1,1,3,1,6,4,1,5,202406301643291.jpg
2024-06-02 15:09:25,4,0,0,0,0,0,0,0,202406021509254.jpg
2024-06-28 14:09:03,1,1,3,0,8,1,0,7,202406281409031.jpg
2024-06-08 02:54:20,3,1,4,1,9,5,4,4,202406080254203.jpg
2024-06-12 06:11:03,3,0,0,0,0,0,0,0,202406120611033.jpg
2024-06-12 10:35:36,2,0,0,0,0,0,0,0,202406121035362.jpg
2024-06-22 07:27:48,4,1,2,1,3,3,4,4,202406220727484.jpg
2024-06-13 09:37:24,1,1,3,1,0,0,2,7,202406130937241.jpg
2024-06-13 09:43:27,1,0,0,0,0,0,0,0,202406130943271.jpg
2024-06-02 10:27:22,4,1,0,0,1,1,1,5,202406021027224.jpg
2024-06-28 07:32:28,3,1,4,1,0,0,4,0,202406280732283.jpg
2024-06-30 09:45:00,3,0,0,0,0,0,0,0,202406300945003.jpg
2024-06-26 15:47:34,1,1,2,1,5,1,3,0,202406261547341.jpg
2024-06-21 09:44:16,3,1,1,0,0,1,1,7,202406210944163.jpg
2024-06-28 06:34:25,1,0,0,0,0,0,0,0,202406280634251.jpg
2024-06-17 10:40:10,5,0,0,0,0,0,0,0,202406171040105.jpg
2024-06-16 23:33:25,3,0,0,0,0,0,0,0,202406162333253.jpg
2024-06-21 08:18:31,5,0,0,0,0,0,0,0,202406210818315.jpg
2024-07-01 23:10:28,3,1,2,1,8,2,2,1,202407012310283.jpg
2024-06-13 11:38:25,1,1,2,1,3,5,2,1,202406131138251.jpg
2024-06-18 00:32:41,4,0,0,0,0,0,0,0,202406180032414.jpg
2024-06-18 10:54:56,4,0,0,0,0,0,0,0,202406181054564.jpg
2024-06-07 14:31:50,2,0,0,0,0,0,0,0,202406071431502.jpg
2024-06-04 06:05:48,4,1,4,0,9,5,4,0,202406040605484.jpg
2024-06-02 07:47:44,1,1,3,0,4,1,1,4,202406020747441.jpg
2024-06-21 05:40:27,1,1,2,1,4,1,4,0,202406210540271.jpg
2024-06-21 23:40:47,5,0,0,0,0,0,0,0,202406212340475.jpg
2024-06-12 03:01:17,1,1,3,0,2,3,2,3,202406120301171.jpg
2024-06-24 22:07:47,2,1,0,0,0,2,2,0,202406242207472.jpg
2024-06-29 08:06:16,1,0,0,0,0,0,0,0,202406290806161.jpg
2024-06-30 12:12:04,4,0,0,0,0,0,0,0,202406301212044.jpg
2024-06-14 14:46:16,5,0,0,0,0,0,0,0,202406141446165.jpg
2024-06-09 23:58:18,3,1,4,1,4,5,0,4,202406092358183.jpg
2024-06-22 10:38:59,1,1,2,0,8,4,1,7,202406221038591.jpg
2024-06-04 21:29:18,4,0,0,0,0,0,0,0,202406042129184.jpg
2024-06-03 13:22:02,4,1,4,1,6,2,2,0,202406031322024.jpg
2024-06-08 09:14:59,3,0,0,0,0,0,0,0,202406080914593.jpg
2024-06-15 06:35:34,1,1,2,0,4,0,3,0,202406150635341.jpg
2024-06-14 12:52:16,1,1,1,0,0,5,1,2,202406141252161.jpg
2024-06-20 07:47:37,4,1,3,1,9,4,1,5,202406200747374.jpg
2024-06-07 13:37:28,2,1,2,1,7,4,0,3,202406071337282.jpg
2024-06-21 22:24:40,4,1,1,1,4,4,1,3,202406212224404.jpg
2024-06-27 01:53:14,3,0,0,0,0,0,0,0,202406270153143.jpg
2024-06-09 09:07:09,5,1,2,0,0,1,2,5,202406090907095.jpg
2024-06-07 04:06:26,1,1,0,0,5,2,4,7,202406070406261.jpg
2024-06-13 03:59:00,5,0,0,0,0,0,0,0,202406130359005.jpg
2024-06-04 04:10:20,4,0,0,0,0,0,0,0,202406040410204.jpg
2024-06-14 03:57:34,4,0,0,0,0,0,0,0,202406140357344.jpg
2024-06-15 01:42:35,3,1,1,1,8,5,2,1,202406150142353.jpg
2024-06-11 22:10:07,4,1,0,1,6,2,0,7,202406112210074.jpg
2024-06-30 06:02:00,5,0,0,0,0,0,0,0,202406300602005.jpg
2024-06-13 09:46:58,2,0,0,0,0,0,0,0,202406130946582.jpg
2024-06-09 12:43:46,4,1,2,0,7,4,1,4,202406091243464.jpg
2024-06-15 03:52:51,4,1,3,0,6,0,4,6,202406150352514.jpg
2024-06-30 03:25:51,4,0,0,0,0,0,0,0,202406300325514.jpg
2024-06-21 17:25:07,1,0,0,0,0,0,0,0,202406211725071.jpg
2024-06-23 15:21:58,4,0,0,0,0,0,0,0,202406231521584.jpg
2024-06-23 23:53:05,4,0,0,0,0,0,0,0,202406232353054.jpg
2024-06-01 14:35:47,2,1,2,0,9,5,4,0,202406011435472.jpg
2024-06-17 16:19:32,2,1,3,0,2,4,0,6,202406171619322.jpg
2024-06-21 11:20:31,2,1,4,0,0,3,3,3,202406211120312.jpg
2024-06-17 02:09:03,2,0,0,0,0,0,0,0,202406170209032.jpg
2024-06-14 02:28:08,4,0,0,0,0,0,0,0,202406140228084.jpg
2024-06-06 10:53:10,1,1,0,0,6,5,2,2,202406061053101.jpg
2024-06-22 06:09:34,2,0,0,0,0,0,0,0,202406220609342.jpg
2024-06-26 07:07:34,4,1,2,1,2,4,0,3,202406260707344.jpg
2024-06-21 03:19:06,3,0,0,0,0,0,0,0,202406210319063.jpg
2024-06-05 13:56:02,1,0,0,0,0,0,0,0,202406051356021.jpg
2024-06-11 13:16:53,2,1,3,1,3,4,1,0,202406111316532.jpg
2024-06-25 03:08:56,2,0,0,0,0,0,0,0,202406250308562.jpg
2024-06-10 11:28:21,3,0,0,0,0,0,0,0,202406101128213.jpg
2024-06-11 02:01:04,3,0,0,0,0,0,0,0,202406110201043.jpg
2024-06-07 22:00:59,4,0,0,0,0,0,0,0,202406072200594.jpg
2024-06-05 01:03:51,2,0,0,0,0,0,0,0,202406050103512.jpg
2024-06-20 04:36:25,2,1,2,1,6,4,2,1,202406200436252.jpg
2024-06-25 23:46:34,3,1,4,1,5,3,0,3,202406252346343.jpg
2024-06-13 12:07:41,3,1,2,0,6,3,2,2,202406131207413.jpg
2024-06-18 06:21:34,4,1,1,0,2,2,2,2,202406180621344.jpg
2024-06-21 19:03:36,2,1,2,1,2,4,4,3,202406211903362.jpg
2024-06-10 11:19:06,1,0,0,0,0,0,0,0,202406101119061.jpg
2024-06-14 16:02:11,3,0,0,0,0,0,0,0,202406141602113.jpg
2024-06-24 15:26:51,2,1,0,0,2,2,4,7,202406241526512.jpg
2024-06-07 01:57:58,4,0,0,0,0,0,0,0,202406070157584.jpg
2024-06-30 21:02:23,1,0,0,0,0,0,0,0,202406302102231.jpg
2024-06-11 05:25:14,4,1,4,0,6,2,4,5,202406110525144.jpg
2024-06-14 20:20:45,5,0,0,0,0,0,0,0,202406142020455.jpg
2024-06-25 10:36:59,2,1,0,0,4,4,3,0,202406251036592.jpg
2024-06-02 06:40:12,2,0,0,0,0,0,0,0,202406020640122.jpg
2024-06-27 21:35:07,1,1,1,0,1,3,0,6,202406272135071.jpg
2024-07-01 11:07:03,3,0,0,0,0,0,0,0,202407011107033.jpg
2024-06-19 06:21:29,4,0,0,0,0,0,0,0,202406190621294.jpg
2024-06-06 12:26:28,4,1,2,0,6,4,0,0,202406061226284.jpg
2024-06-26 08:03:01,2,0,0,0,0,0,0,0,202406260803012.jpg
2024-06-07 14:40:07,2,0,0,0,0,0,0,0,202406071440072.jpg
2024-06-11 10:05:02,1,1,4,1,3,5,0,0,202406111005021.jpg
2024-06-03 22:45:17,1,0,0,0,0,0,0,0,202406032245171.jpg
2024-06-05 02:44:20,5,1,3,0,5,5,0,3,202406050244205.jpg
2024-06-03 05:08:47,1,1,4,1,6,4,0,2,202406030508471.jpg
2024-06-17 06:12:10,1,1,3,0,5,1,1,3,202406170612101.jpg
2024-06-04 13:24:19,4,0,0,0,0,0,0,0,202406041324194.jpg
2024-06-24 06:22:59,5,0,0,0,0,0,0,0,202406240622595.jpg
2024-06-12 13:49:14,1,0,0,0,0,0,0,0,202406121349141.jpg
2024-06-02 06:20:23,4,1,2,1,4,1,0,0,202406020620234.jpg
2024-06-22 07:42:44,3,1,3,1,8,1,2,3,202406220742443.jpg
2024-06-21 06:28:28,4,1,4,0,6,2,2,7,202406210628284.jpg
2024-06-05 03:34:07,1,1,0,1,4,4,3,2,202406050334071.jpg
2024-06-03 21:28:02,2,0,0,0,0,0,0,0,202406032128022.jpg
2024-06-18 15:32:33,3,0,0,0,0,0,0,0,202406181532333.jpg
2024-06-26 10:06:54,5,1,2,1,2,5,4,2,202406261006545.jpg
2024-06-16 23:44:22,4,1,0,1,5,5,4,2,202406162344224.jpg
2024-06-19 04:57:08,4,0,0,0,0,0,0,0,202406190457084.jpg
2024-06-04 01:00:10,5,0,0,0,0,0,0,0,202406040100105.jpg
2024-06-02 04:47:05,4,0,0,0,0,0,0,0,202406020447054.jpg
2024-06-10 23:25:39,5,0,0,0,0,0,0,0,202406102325395.jpg
2024-06-04 07:10:43,2,0,0,0,0,0,0,0,202406040710432.jpg
2024-06-22 04:04:56,4,1,0,1,9,5,4,3,202406220404564.jpg
2024-06-30 23:06:10,3,0,0,0,0,0,0,0,202406302306103.jpg
2024-06-10 15:52:24,4,0,0,0,0,0,0,0,202406101552244.jpg
2024-06-20 07:47:21,5,0,0,0,0,0,0,0,202406200747215.jpg
2024-07-01 01:08:41,3,0,0,0,0,0,0,0,202407010108413.jpg
2024-06-30 18:01:01,2,0,0,0,0,0,0,0,202406301801012.jpg
2024-06-02 10:44:24,2,0,0,0,0,0,0,0,202406021044242.jpg
2024-06-23 15:20:55,1,0,0,0,0,0,0,0,202406231520551.jpg
2024-06-13 21:45:03,5,1,4,0,5,2,2,5,202406132145035.jpg
2024-06-18 00:12:57,1,0,0,0,0,0,0,0,202406180012571.jpg
2024-06-02 20:30:11,2,0,0,0,0,0,0,0,202406022030112.jpg
2024-07-01 03:34:07,4,1,4,0,6,5,2,1,202407010334074.jpg
2024-06-14 21:46:12,3,0,0,0,0,0,0,0,202406142146123.jpg
2024-06-08 18:17:38,2,0,0,0,0,0,0,0,202406081817382.jpg
2024-06-11 05:08:44,3,1,3,0,4,2,0,7,202406110508443.jpg
2024-06-04 18:33:49,3,1,2,1,5,1,4,6,202406041833493.jpg
2024-06-03 11:01:03,2,1,1,0,1,2,4,7,202406031101032.jpg
2024-06-01 23:00:51,3,1,2,0,2,2,3,1,202406012300513.jpg
2024-06-04 04:00:04,4,1,2,1,7,1,1,0,202406040400044.jpg
2024-06-21 15:21:45,4,1,3,1,6,0,3,3,202406211521454.jpg
2024-06-15 18:34:19,1,1,3,0,6,1,4,6,202406151834191.jpg
2024-06-11 01:10:40,5,0,0,0,0,0,0,0,202406110110405.jpg
2024-06-15 15:34:26,1,0,0,0,0,0,0,0,202406151534261.jpg
2024-06-08 04:59:21,3,0,0,0,0,0,0,0,202406080459213.jpg
2024-06-29 01:26:52,5,1,4,1,8,2,1,1,202406290126525.jpg
2024-06-15 05:41:52,3,0,0,0,0,0,0,0,202406150541523.jpg
2024-07-01 12:29:45,3,0,0,0,0,0,0,0,202407011229453.jpg
2024-06-03 05:06:16,4,1,3,0,4,1,1,3,202406030506164.jpg
2024-06-29 20:17:55,4,1,0,0,9,1,3,6,202406292017554.jpg
2024-06-19 07:57:47,2,1,4,0,3,3,1,6,202406190757472.jpg
2024-06-22 08:14:13,2,1,2,0,8,1,2,7,202406220814132.jpg
2024-06-02 16:13:15,5,0,0,0,0,0,0,0,202406021613155.jpg
2024-06-03 04:21:54,1,1,3,0,7,5,2,5,202406030421541.jpg
2024-06-16 03:05:04,2,0,0,0,0,0,0,0,202406160305042.jpg
2024-06-10 22:45:44,5,1,4,0,0,3,1,0,202406102245445.jpg
2024-06-04 07:15:43,2,0,0,0,0,0,0,0,202406040715432.jpg
2024-06-13 13:46:53,3,1,0,1,8,2,0,5,202406131346533.jpg
2024-06-28 20:10:01,1,1,1,0,2,4,3,0,202406282010011.jpg
2024-06-08 03:34:58,5,0,0,0,0,0,0,0,202406080334585.jpg
2024-07-01 08:24:06,4,0,0,0,0,0,0,0,202407010824064.jpg
2024-06-09 06:48:41,1,0,0,0,0,0,0,0,202406090648411.jpg
2024-06-24 23:32:10,4,0,0,0,0,0,0,0,202406242332104.jpg
2024-06-03 06:33:32,5,0,0,0,0,0,0,0,202406030633325.jpg
2024-06-09 19:04:54,1,1,0,1,9,4,4,5,202406091904541.jpg
2024-06-20 03:16:53,4,1,2,1,2,4,0,0,202406200316534.jpg
2024-06-21 07:24:17,5,0,0,0,0,0,0,0,202406210724175.jpg
2024-06-03 10:38:47,4,1,0,0,3,1,2,2,202406031038474.jpg
2024-06-02 23:40:36,4,1,0,0,7,3,1,1,202406022340364.jpg
2024-06-18 20:56:43,1,1,0,1,8,4,4,0,202406182056431.jpg
2024-06-22 16:15:39,3,1,4,1,0,1,2,6,202406221615393.jpg
2024-06-08 05:45:42,5,1,2,0,9,4,1,5,202406080545425.jpg
2024-07-01 23:16:08,2,0,0,0,0,0,0,0,202407012316082.jpg
2024-06-27 03:46:25,5,1,3,1,5,5,3,5,202406270346255.jpg
2024-06-27 15:04:12,1,0,0,0,0,0,0,0,202406271504121.jpg
2024-06-25 11:19:12,4,0,0,0,0,0,0,0,202406251119124.jpg
2024-07-01 23:57:29,4,0,0,0,0,0,0,0,202407012357294.jpg
2024-06-23 08:51:13,3,0,0,0,0,0,0,0,202406230851133.jpg
2024-06-12 11:56:59,4,1,2,0,9,5,4,6,202406121156594.jpg
2024-06-07 13:33:08,5,1,0,1,3,0,4,7,202406071333085.jpg
2024-06-02 18:12:48,3,1,4,1,1,2,3,0,202406021812483.jpg
2024-06-27 08:32:31,2,0,0,0,0,0,0,0,202406270832312.jpg
2024-06-16 23:48:03,3,1,2,1,3,1,3,7,202406162348033.jpg
2024-06-25 14:04:02,2,0,0,0,0,0,0,0,202406251404022.jpg
2024-06-25 22:47:01,3,1,3,0,6,2,0,3,202406252247013.jpg
2024-06-29 17:48:23,5,1,0,0,7,1,2,6,202406291748235.jpg
2024-06-12 19:08:18,5,1,2,0,8,4,0,4,202406121908185.jpg
2024-06-20 00:13:32,5,1,3,1,0,0,0,1,202406200013325.jpg
2024-07-01 18:06:36,2,0,0,0,0,0,0,0,202407011806362.jpg
2024-06-22 20:05:46,4,0,0,0,0,0,0,0,202406222005464.jpg
2024-06-09 12:11:55,4,1,0,1,2,1,3,4,202406091211554.jpg
2024-06-08 08:31:16,2,1,1,1,4,4,0,5,202406080831162.jpg
2024-06-12 21:48:41,3,1,1,1,3,0,3,3,202406122148413.jpg
2024-06-05 10:08:45,1,1,3,0,3,1,3,7,202406051008451.jpg
2024-06-02 03:52:26,5,0,0,0,0,0,0,0,202406020352265.jpg
2024-06-20 09:03:57,1,0,0,0,0,0,0,0,202406200903571.jpg
2024-06-28 11:47:39,5,1,4,0,7,4,3,4,202406281147395.jpg
2024-06-23 16:36:19,5,1,3,1,2,5,1,6,202406231636195.jpg
2024-06-25 17:35:00,2,0,0,0,0,0,0,0,202406251735002.jpg
2024-06-12 17:43:17,3,1,2,0,1,4,2,2,202406121743173.jpg
2024-06-09 04:27:15,5,0,0,0,0,0,0,0,202406090427155.jpg
2024-06-20 04:41:46,3,0,0,0,0,0,0,0,202406200441463.jpg
2024-06-12 00:52:17,1,0,0,0,0,0,0,0,202406120052171.jpg
2024-06-12 03:10:56,3,1,2,1,7,4,1,6,202406120310563.jpg
2024-06-05 08:19:03,1,1,4,1,9,1,1,6,202406050819031.jpg
2024-06-12 05:42:57,2,0,0,0,0,0,0,0,202406120542572.jpg
2024-06-21 12:03:13,4,1,3,1,7,2,2,4,202406211203134.jpg
2024-06-28 04:16:32,3,1,3,0,8,3,2,7,202406280416323.jpg
2024-06-10 06:36:41,1,0,0,0,0,0,0,0,202406100636411.jpg
2024-06-10 08:05:22,5,1,4,0,7,1,1,7,202406100805225.jpg
2024-06-03 19:05:50,5,1,3,1,6,1,3,3,202406031905505.jpg
2024-07-01 15:21:45,3,1,2,0,8,0,2,7,202407011521453.jpg
2024-06-25 00:11:40,3,0,0,0,0,0,0,0,202406250011403.jpg
2024-06-19 07:35:23,5,0,0,0,0,0,0,0,202406190735235.jpg
2024-06-30 00:21:24,3,0,0,0,0,0,0,0,202406300021243.jpg
